Analysis name,Health_condition,Host,Organism
UN_MBA_191070_220110,healthy,Manis javanica,Anal
UN_MBA_191071_220110,healthy,Manis javanica,Anal
UN_MBA_191072_220110,healthy,Manis javanica,Anal
UN_MBA_191073_220110,healthy,Manis javanica,Anal
UN_MBA_191074_220110,healthy,Manis javanica,Anal
UN_MBA_191075_220110,healthy,Manis javanica,Anal
UN_MBO_190999_220216,healthy,Manis javanica,Oral
UN_MBO_191000_220216,healthy,Manis javanica,Oral
UN_MBO_191001_220216,healthy,Manis javanica,Oral
UN_MBO_191002_220216,healthy,Manis javanica,Oral
UN_MBO_191003_220216,healthy,Manis javanica,Oral
UN_MBO_191004_220216,healthy,Manis javanica,Oral
UN_MBO_191005_220216,healthy,Manis javanica,Oral
UN_MBO_191006_220216,healthy,Manis javanica,Oral
UN_MBO_191007_220216,healthy,Manis javanica,Oral
UN_MBO_191008_220216,healthy,Manis javanica,Oral
UN_MBO_191009_220216,healthy,Manis javanica,Oral
UN_MBO_191010_220216,healthy,Manis javanica,Oral
UN_MBO_191011_220216,healthy,Manis javanica,Oral
UN_MBO_191012_220216,healthy,Manis javanica,Oral
UN_MBO_191013_220216,healthy,Manis javanica,Oral
UN_MBO_191014_220216,healthy,Manis javanica,Oral
UN_MBO_191015_220217,healthy,Manis javanica,Oral
UN_MBO_191016_220217,healthy,Manis javanica,Oral
UN_MBO_191017_220217,healthy,Manis javanica,Oral
UN_MBO_191018_220217,healthy,Manis javanica,Oral
UN_MBO_191019_220217,healthy,Manis javanica,Oral
UN_MBO_191020_220217,healthy,Manis javanica,Oral
UN_MBO_191021_220217,healthy,Manis javanica,Oral
UN_MBO_191022_220217,healthy,Manis javanica,Oral
UN_MBO_191023_220217,healthy,Manis javanica,Oral
UN_MBO_191024_220217,healthy,Manis javanica,Oral
UN_MBO_191025_220217,healthy,Manis javanica,Oral
UN_MBO_191026_220217,healthy,Manis javanica,Oral
UN_MBO_191027_220217,healthy,Manis javanica,Oral
UN_MBO_191028_220217,healthy,Manis javanica,Oral
UN_MBO_191029_220217,healthy,Manis javanica,Oral
UN_MBO_191030_220217,healthy,Manis javanica,Oral
UN_MBO_191031_220218,healthy,Manis javanica,Oral
UN_MBO_191032_220218,healthy,Manis javanica,Oral
UN_MBO_191033_220218,healthy,Manis javanica,Oral
UN_MBO_191034_220218,healthy,Manis javanica,Oral
UN_MBO_191035_220218,healthy,Manis javanica,Oral
UN_MBO_191037_220218,healthy,Manis javanica,Oral
UN_MBO_191038_220218,healthy,Manis javanica,Oral
UN_MBO_191039_220218,healthy,Manis javanica,Oral
UN_MBO_191040_220218,healthy,Manis javanica,Oral
