Health,sample,Type,Host,Family,Genus,Species,rpm,coverage,lg_rpm_1
Healthy,UN_MBA191076,Anal,Manis javanica,,,,,,
Healthy,UN_MBA191077,Anal,Manis javanica,,,,,,
Healthy,UN_MBO191006,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191008,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191011,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191012,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191014,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191015,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191016,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191019,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191021,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191027,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191029,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191030,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191032,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191034,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191035,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191037,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191039,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191041,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191044,Oral,Manis pentadactyla,,,,,,
Healthy,UN_MBO191046,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191047,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191049,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191050,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191056,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191057,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191058,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191060,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191063,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191066,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191067,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191069,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191070,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191072,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191074,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191075,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191077,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191078,Oral,Manis javanica,,,,,,
Healthy,UN_MBO191079,Oral,Manis javanica,,,,,,
Unhealthy,MJ_Lung2,Lung,Manis javanica,,,,,,
Unhealthy,MJ_Lung9,Lung,Manis javanica,,,,,,
Unhealthy,MJ_Lung11,Lung,Manis javanica,,,,,,
Unhealthy,MJ_Lung14,Lung,Manis javanica,,,,,,
Unhealthy,MJ_Lung15,Lung,Manis javanica,,,,,,
Unhealthy,MJ_Lung23,Lung,Manis javanica,,,,,,
Unhealthy,MJ_Lung32,Lung,Manis javanica,,,,,,
Unhealthy,MJ_Spleen24,Spleen,Manis javanica,,,,,,
Unhealthy,MJ_Spleen25,Spleen,Manis javanica,,,,,,
Unhealthy,MJ_Spleen31,Spleen,Manis javanica,,,,,,
Unhealthy,MJ_Spleen29,Spleen,Manis javanica,,,,,,
Unhealthy,MJ_Spleen32,Spleen,Manis javanica,,,,,,
Unhealthy,MJ_Spleen30,Spleen,Manis javanica,,,,,,
Unhealthy,MJ_Spleen33,Spleen,Manis javanica,,,,,,
Unhealthy,MJ_Lung21,Lung,Manis javanica,,,,,,
Unhealthy,MJ_Mix4,MMM,Manis javanica,,,,,,
Unhealthy,MP_Fecal1,Fecal,Manis pentadactyla,,,,,,
Unhealthy,MJ_Mix1,MMM,Manis javanica,,,,,,
Unhealthy,MP_Mix2,MMM,Manis pentadactyla,,,,,,
